publication_id,staff_id,author_position
1,52,1
2,6,1
2,3,2
3,6,1
4,7,1
4,4,2
5,24,1
6,4,1
6,7,2
6,2,3
7,3,1
7,4,2
7,24,3
8,6,1
9,7,1
9,33,2
9,52,3
10,5,1
11,26,1
12,2,1
12,33,2
12,7,3
13,2,1
14,4,1
15,5,1
15,1,2
16,26,1
16,29,2
16,5,3
16,24,4
17,26,1
17,40,2
18,3,1
18,26,2
19,33,1
19,4,2
20,40,1
20,45,2
20,33,3
21,42,1
21,2,2
22,6,1
23,2,1
23,40,2
24,2,1
24,7,2
24,24,3
25,2,1
25,29,2
26,52,1
27,40,1
27,33,2
27,7,3
28,26,1
28,24,2
28,29,3
28,3,4
29,6,1
29,4,2
29,1,3
29,3,4
30,30,1
31,30,1
31,13,2
31,29,3
32,40,1
33,6,1
33,33,2
34,2,1
35,52,1
36,49,1
36,26,2
37,33,1
38,6,1
39,7,1
40,49,1
40,2,2
40,33,3
41,30,1
42,29,1
42,27,2
43,3,1
43,33,2
44,15,1
44,33,2
44,4,3
44,2,4
45,13,1
46,52,1
47,33,1
47,45,2
47,4,3
48,5,1
48,52,2
49,3,1
50,5,1
50,45,2
50,2,3
51,51,1
51,45,2
51,49,3
52,6,1
52,26,2
53,4,1
54,33,1
54,4,2
54,7,3
54,49,4
55,27,1
55,26,2
56,57,1
57,33,1
57,13,2
58,33,1
58,13,2
58,4,3
58,40,4
59,13,1
60,13,1
61,13,1
61,11,2
61,24,3
62,3,1
63,4,1
63,32,2
64,4,1
64,24,2
65,51,1
65,24,2
66,42,1
66,26,2
66,49,3
66,5,4
67,45,1
67,11,2
68,33,1
68,32,2
68,40,3
69,32,1
69,49,2
69,33,3
70,11,1
70,53,2
71,5,1
71,33,2
72,33,1
72,4,2
73,2,1
73,6,2
74,30,1
74,48,2
75,45,1
76,33,1
76,48,2
77,48,1
77,3,2
78,3,1
79,18,1
80,51,1
80,27,2
81,11,1
82,15,1
83,10,1
83,52,2
84,17,1
85,52,1
86,14,1
86,45,2
86,4,3
86,1,4
87,3,1
87,29,2
88,52,1
89,6,1
90,6,1
91,3,1
91,48,2
91,42,3
91,2,4
92,11,1
93,40,1
94,57,1
95,53,1
95,3,2
95,24,3
95,60,4
96,13,1
96,59,2
97,6,1
97,34,2
98,4,1
98,45,2
98,14,3
99,17,1
99,47,2
99,59,3
100,6,1
100,49,2
100,4,3
100,18,4
101,13,1
101,7,2
102,29,1
102,14,2
103,32,1
104,49,1
105,26,1
105,34,2
106,52,1
106,12,2
106,15,3
106,54,4
107,12,1
107,32,2
107,27,3
107,26,4
108,51,1
108,18,2
109,33,1
109,60,2
109,16,3
110,32,1
110,33,2
110,14,3
110,42,4
111,11,1
112,19,1
113,13,1
113,57,2
113,4,3
113,37,4
114,58,1
114,7,2
115,53,1
116,38,1
117,50,1
117,5,2
118,33,1
119,11,1
120,26,1
120,20,2
121,11,1
121,14,2
122,32,1
122,19,2
123,54,1
123,47,2
124,60,1
124,38,2
125,13,1
126,13,1
127,60,1
127,38,2
128,39,1
128,19,2
129,38,1
130,49,1
131,15,1
132,48,1
132,32,2
133,22,1
134,14,1
134,40,2
135,57,1
135,4,2
135,21,3
135,60,4
136,21,1
136,18,2
137,17,1
137,25,2
138,14,1
138,13,2
139,34,1
139,35,2
139,28,3
140,50,1
140,25,2
140,30,3
141,3,1
142,34,1
142,32,2
142,36,3
143,4,1
143,38,2
143,48,3
144,19,1
144,44,2
145,4,1
145,26,2
146,14,1
146,12,2
147,21,1
147,35,2
148,4,1
148,36,2
148,35,3
149,54,1
150,4,1
150,48,2
