disbursement_id,project_id,paid_on,amount_usd,category
1,2,2014-03-24,55832.99,training
2,1,2014-03-31,45496.00,consultancy
3,1,2014-05-01,58040.36,travel
4,2,2014-06-01,40798.15,equipment
5,4,2014-06-04,57955.25,travel
6,4,2014-06-20,57459.50,training
7,1,2014-06-25,82507.51,grants
8,4,2014-06-27,43370.56,travel
9,3,2014-07-03,33310.68,personnel
10,4,2014-10-16,38194.09,equipment
11,1,2014-10-20,68259.57,equipment
12,4,2014-11-29,21984.57,travel
13,1,2014-12-02,23886.28,equipment
14,4,2014-12-21,52098.25,grants
15,4,2015-01-13,18189.48,personnel
16,1,2015-02-05,34559.11,training
17,7,2015-02-07,39598.17,grants
18,4,2015-02-21,12244.13,equipment
19,4,2015-02-27,16843.53,grants
20,8,2015-02-27,24778.67,consultancy
21,2,2015-03-09,31996.55,grants
22,4,2015-03-31,22928.73,travel
23,7,2015-04-02,49858.51,personnel
24,2,2015-04-03,38419.15,grants
25,1,2015-04-05,49427.54,personnel
26,8,2015-04-05,21540.22,consultancy
27,8,2015-04-05,21540.22,consultancy
28,1,2015-04-10,23984.57,consultancy
29,4,2015-04-14,54494.45,travel
30,6,2015-04-17,70720.05,grants
31,9,2015-04-19,89739.74,equipment
32,6,2015-04-20,66171.30,personnel
33,5,2015-05-17,19450.32,consultancy
34,7,2015-05-27,68391.31,personnel
35,7,2015-05-28,44975.94,grants
36,4,2015-06-11,39273.31,travel
37,8,2015-06-14,67642.72,grants
38,7,2015-06-26,33750.35,equipment
39,4,2015-07-05,20975.34,grants
40,7,2015-07-16,69041.62,consultancy
41,7,2015-07-21,38712.28,equipment
42,11,2015-08-02,41816.37,personnel
43,6,2015-08-04,20266.98,personnel
44,11,2015-08-12,69920.39,consultancy
45,10,2015-08-21,20546.70,grants
46,10,2015-08-28,43238.33,personnel
47,12,2015-08-28,50631.39,consultancy
48,12,2015-08-31,64024.44,personnel
49,1,2015-09-05,46178.78,training
50,11,2015-09-06,19605.96,personnel
51,4,2015-09-13,60098.54,grants
52,10,2015-09-17,50847.15,personnel
53,12,2015-09-23,61982.52,training
54,4,2015-09-24,60947.20,equipment
55,9,2015-09-24,80733.26,grants
