trip_id,staff_id,project_id,country_code,departure_date,return_date,cost_usd,purpose
1,6,1,GTM,2014-05-09,2014-05-13,2541.79,data collection
2,52,,TCD,2014-06-20,2014-06-24,3129.82,conference
3,6,4,BWA,2014-07-20,2014-07-30,2750.67,workshop
4,52,5,SDN,2014-08-06,2014-08-18,3756.36,workshop
5,6,2,PER,2014-10-25,2014-11-04,2943.80,field visit
6,3,,DNK,2014-11-21,2014-11-24,2789.24,conference
7,6,5,SDN,2014-11-24,2014-11-29,2341.00,partner meeting
8,2,3,COG,2014-12-04,2014-12-12,3362.53,workshop
9,52,3,COG,2015-02-23,2015-03-05,3675.58,data collection
10,6,3,COG,2015-03-24,2015-03-28,1805.02,data collection
11,6,,ALB,2015-05-01,2015-05-03,1992.36,conference
12,52,2,PER,2015-05-23,2015-05-28,2032.76,workshop
13,2,3,COG,2015-07-17,2015-07-20,2595.87,field visit
14,6,12,TGO,2015-09-20,2015-09-24,2206.93,partner meeting
15,2,6,CIV,2015-10-17,2015-10-23,2834.93,partner meeting
16,52,7,GRD,2015-11-07,2015-11-20,3956.30,data collection
17,3,,VUT,2015-11-08,2015-11-10,2275.19,conference
18,7,,DNK,2015-11-09,2015-11-15,2914.77,conference
19,6,8,MEX,2015-11-12,2015-11-16,2377.99,monitoring visit
20,2,11,SDN,2015-11-15,2015-11-28,3892.51,field visit
21,52,9,SYC,2015-11-15,2015-11-23,2496.39,field visit
22,6,8,MEX,2015-11-18,2015-11-29,3106.82,field visit
23,6,7,GRD,2015-12-02,2015-12-16,4291.39,data collection
24,6,10,GNQ,2015-12-25,2016-01-04,3230.34,field visit
25,6,1,GTM,2015-12-27,2016-01-10,3678.22,data collection
26,52,13,BOL,2016-01-27,2016-02-01,2796.58,workshop
27,6,16,ZMB,2016-03-02,2016-03-07,2552.40,data collection
28,52,19,LSO,2016-03-06,2016-03-18,3303.23,field visit
29,52,1,GTM,2016-03-13,2016-03-21,3397.46,monitoring visit
30,2,11,SDN,2016-03-24,2016-03-27,2459.28,workshop
31,52,15,STP,2016-04-06,2016-04-12,2338.73,workshop
32,6,10,GNQ,2016-05-01,2016-05-15,4055.48,data collection
33,52,9,SYC,2016-05-04,2016-05-16,3217.72,partner meeting
34,2,3,COG,2016-05-07,2016-05-13,2592.01,monitoring visit
35,2,17,SWZ,2016-05-09,2016-05-23,4127.78,partner meeting
36,52,17,SWZ,2016-05-11,2016-05-25,3577.77,field visit
37,6,13,BOL,2016-05-31,2016-06-09,3384.44,field visit
38,8,,NZL,2016-06-02,2016-06-07,3499.53,conference
39,6,5,SDN,2016-06-24,2016-07-01,2977.97,workshop
40,6,11,SDN,2016-06-25,2016-07-09,4063.49,workshop
41,52,15,STP,2016-06-26,2016-07-09,4001.96,partner meeting
42,6,10,GNQ,2016-07-20,2016-07-28,3454.46,partner meeting
43,6,17,SWZ,2016-07-25,2016-08-07,3906.53,monitoring visit
44,6,15,STP,2016-07-27,2016-08-03,3015.83,data collection
45,26,19,LSO,2016-08-15,2016-08-26,4128.85,monitoring visit
46,24,13,BOL,2016-10-04,2016-10-11,2739.41,data collection
47,52,23,GNB,2016-10-07,2016-10-17,3013.60,workshop
48,4,,AUS,2016-10-12,2016-10-16,2880.64,conference
