publication_id,title,pub_type,published_on,project_id,downloads
1,Life expectancy and health spending: a first look,working paper,2014-06-08,,259
2,Why aggregates are not countries,report,2014-09-21,,1250
3,Mini-grids in Botswana: a monitoring note,report,2015-03-19,4,516
4,Digital skills survey results: Cote d'Ivoire,data note,2015-07-03,6,155
5,"Averages, medians and outliers in country data",data note,2015-08-23,,1249
6,Digital skills survey results: Mexico,report,2016-02-13,8,523
7,Meridiano Observatory annual report 2015,article,2016-04-28,,595
8,What the Gini index says about Guatemala,data note,2016-05-14,1,1981
9,CO2 per person across income groups,report,2016-05-15,,550
10,Emissions inventory notes: Sudan,article,2016-08-09,5,195
11,Health spending and outcomes in Eswatini,policy brief,2016-08-20,17,1709
12,Two decades of internet growth,article,2016-09-03,,665
13,"Digital skills survey results: Congo, Rep.",report,2016-12-01,18,215
14,CO2 emissions per person in Sudan,policy brief,2017-03-06,5,686
15,Meridiano Observatory annual report 2016,article,2017-04-11,,690
16,A guide to World Bank income groups,report,2017-04-17,,1265
17,CO2 emissions per person in Grenada,report,2017-05-08,7,1103
18,Household income survey results: Bolivia,article,2017-06-05,13,867
19,Mini-grids in Sao Tome and Principe: a monitoring note,data note,2017-06-09,15,1158
20,"Electricity access in Congo, Rep.: trends since 2000",article,2017-07-30,14,1755
21,Emissions inventory notes: Lithuania,report,2017-11-02,26,442
22,Renewable energy use in Sudan: where the data stands,article,2017-11-12,5,255
23,"Child health survey results: Congo, Rep.",report,2017-12-13,3,1722
24,Open data at the Meridiano Observatory,article,2017-12-18,,158
25,"Health facility data in Congo, Rep.",working paper,2017-12-23,3,594
26,Under-five mortality in Haiti: a data review,policy brief,2018-01-02,24,3088
27,Air quality monitoring in Sudan,working paper,2018-01-05,5,481
28,Measuring income inequality in Bolivia,report,2018-01-05,13,146
29,Electricity access in Equatorial Guinea: trends since 2000,report,2018-03-03,10,847
30,What the Gini index says about Panama,report,2018-03-07,29,983
31,Reading the Gini index: a primer,article,2018-04-02,,470
32,Meridiano Observatory annual report 2017,working paper,2018-04-04,,805
33,"Energy access survey results: Congo, Rep.",working paper,2018-05-15,14,408
34,Health spending and outcomes in Haiti,report,2018-07-01,24,792
35,Health facility data in Haiti,report,2018-07-03,24,576
36,Urbanisation and electricity access,report,2018-07-10,,176
37,"Energy access survey results: Yemen, Rep.",policy brief,2018-07-28,22,365
38,Energy access survey results: Equatorial Guinea,article,2018-08-27,10,1069
39,Internet use in Guinea-Bissau: who is still offline,report,2018-09-16,23,477
40,Child mortality: two decades of data,report,2018-09-30,,213
41,Household income survey results: Lesotho,working paper,2018-11-11,19,222
42,"Measuring income inequality in Micronesia, Fed. Sts.",article,2018-11-16,31,872
43,Rural and urban gaps in electricity access,article,2018-11-21,,42
44,Off-grid solar and rural households in Rwanda,policy brief,2018-12-18,33,250
45,Child health survey results: Ghana,article,2018-12-21,28,510
