country_code,country_name,region_code,income_group,capital_city,latitude,longitude
ABW,Aruba,LCN,High income,Oranjestad,12.5167,-70.0167
AFG,Afghanistan,MEA,Low income,Kabul,34.5228,69.1761
AGO,Angola,SSF,Lower middle income,Luanda,-8.81155,13.242
ALB,Albania,ECS,Upper middle income,Tirane,41.3317,19.8172
AND,Andorra,ECS,High income,Andorra la Vella,42.5075,1.5218
ARB,Arab World,,,,,
ARE,United Arab Emirates,MEA,High income,Abu Dhabi,24.4764,54.3705
ARG,Argentina,LCN,Upper middle income,Buenos Aires,-34.6118,-58.4173
ARM,Armenia,ECS,Upper middle income,Yerevan,40.1596,44.509
ASM,American Samoa,EAS,High income,Pago Pago,-14.2846,-170.691
ATG,Antigua and Barbuda,LCN,High income,Saint John's,17.1175,-61.8456
AUS,Australia,EAS,High income,Canberra,-35.282,149.129
AUT,Austria,ECS,High income,Vienna,48.2201,16.3798
AZE,Azerbaijan,ECS,Upper middle income,Baku,40.3834,49.8932
BDI,Burundi,SSF,Low income,Bujumbura,-3.3784,29.3639
BEL,Belgium,ECS,High income,Brussels,50.8371,4.36761
BEN,Benin,SSF,Lower middle income,Porto-Novo,6.4779,2.6323
BFA,Burkina Faso,SSF,Low income,Ouagadougou,12.3605,-1.53395
BGD,Bangladesh,SAS,Lower middle income,Dhaka,23.7055,90.4113
BGR,Bulgaria,ECS,High income,Sofia,42.7105,23.3238
BHR,Bahrain,MEA,High income,Manama,26.1921,50.5354
BHS,"Bahamas, The",LCN,High income,Nassau,25.0661,-77.339
BIH,Bosnia and Herzegovina,ECS,Upper middle income,Sarajevo,43.8607,18.4214
BLR,Belarus,ECS,Upper middle income,Minsk,53.9678,27.5766
BLZ,Belize,LCN,Upper middle income,Belmopan,17.2534,-88.7713
BMU,Bermuda,NAC,High income,Hamilton,32.3293,-64.706
BOL,Bolivia,LCN,Lower middle income,La Paz,-13.9908,-66.1936
BRA,Brazil,LCN,Upper middle income,Brasilia,-15.7801,-47.9292
BRB,Barbados,LCN,High income,Bridgetown,13.0935,-59.6105
BRN,Brunei Darussalam,EAS,High income,Bandar Seri Begawan,4.94199,114.946
BTN,Bhutan,SAS,Lower middle income,Thimphu,27.5768,89.6177
BWA,Botswana,SSF,Upper middle income,Gaborone,-24.6544,25.9201
CAF,Central African Republic,SSF,Low income,Bangui,5.63056,21.6407
CAN,Canada,NAC,High income,Ottawa,45.4215,-75.6919
CHE,Switzerland,ECS,High income,Bern,46.948,7.44821
CHI,Channel Islands,ECS,High income,,,
CHL,Chile,LCN,High income,Santiago,-33.475,-70.6475
