country_code,indicator_code,year,value
ABW,SP.POP.TOTL,2000,90588
ABW,SP.POP.TOTL,2001,91439
ABW,SP.POP.TOTL,2002,92074
ABW,SP.POP.TOTL,2003,93128
ABW,SP.POP.TOTL,2004,95138
ABW,SP.POP.TOTL,2005,97635
ABW,SP.POP.TOTL,2006,99405
ABW,SP.POP.TOTL,2007,100150
ABW,SP.POP.TOTL,2008,100917
ABW,SP.POP.TOTL,2009,101604
ABW,SP.POP.TOTL,2010,101838
ABW,SP.POP.TOTL,2011,102591
ABW,SP.POP.TOTL,2012,104110
ABW,SP.POP.TOTL,2013,105675
ABW,SP.POP.TOTL,2014,106807
ABW,SP.POP.TOTL,2015,107906
ABW,SP.POP.TOTL,2016,108727
ABW,SP.POP.TOTL,2017,108735
ABW,SP.POP.TOTL,2018,108908
ABW,SP.POP.TOTL,2019,109203
ABW,SP.POP.TOTL,2020,108587
ABW,SP.POP.TOTL,2021,107700
ABW,SP.POP.TOTL,2022,107310
ABW,SP.POP.TOTL,2023,107359
ABW,NY.GDP.MKTP.CD,2000,1873452514
ABW,NY.GDP.MKTP.CD,2001,1896456983
ABW,NY.GDP.MKTP.CD,2002,1961843575
ABW,NY.GDP.MKTP.CD,2003,2044111732
ABW,NY.GDP.MKTP.CD,2004,2254830726
ABW,NY.GDP.MKTP.CD,2005,2360017318
ABW,NY.GDP.MKTP.CD,2006,2469782682
ABW,NY.GDP.MKTP.CD,2007,2677641341
ABW,NY.GDP.MKTP.CD,2008,2843024581
ABW,NY.GDP.MKTP.CD,2009,2553793296
ABW,NY.GDP.MKTP.CD,2010,2453597207
ABW,NY.GDP.MKTP.CD,2011,2637859218
ABW,NY.GDP.MKTP.CD,2012,2615208380
ABW,NY.GDP.MKTP.CD,2013,2727849162
ABW,NY.GDP.MKTP.CD,2014,2790849721
ABW,NY.GDP.MKTP.CD,2015,2962906704
ABW,NY.GDP.MKTP.CD,2016,2983637430
ABW,NY.GDP.MKTP.CD,2017,3092427933
ABW,NY.GDP.MKTP.CD,2018,3276187709
ABW,NY.GDP.MKTP.CD,2019,3347561739
ABW,NY.GDP.MKTP.CD,2020,2461056053
ABW,NY.GDP.MKTP.CD,2021,2889305034
ABW,NY.GDP.MKTP.CD,2022,3326671315
ABW,NY.GDP.MKTP.CD,2023,3746573413
ABW,NY.GDP.PCAP.CD,2000,20681.02
ABW,NY.GDP.PCAP.CD,2001,20740.13
ABW,NY.GDP.PCAP.CD,2002,21307.25
ABW,NY.GDP.PCAP.CD,2003,21949.49
ABW,NY.GDP.PCAP.CD,2004,23700.63
ABW,NY.GDP.PCAP.CD,2005,24171.84
ABW,NY.GDP.PCAP.CD,2006,24845.66
ABW,NY.GDP.PCAP.CD,2007,26736.31
ABW,NY.GDP.PCAP.CD,2008,28171.91
ABW,NY.GDP.PCAP.CD,2009,25134.77
ABW,NY.GDP.PCAP.CD,2010,24093.14
ABW,NY.GDP.PCAP.CD,2011,25712.38
ABW,NY.GDP.PCAP.CD,2012,25119.67
ABW,NY.GDP.PCAP.CD,2013,25813.57
ABW,NY.GDP.PCAP.CD,2014,26129.84
ABW,NY.GDP.PCAP.CD,2015,27458.22
ABW,NY.GDP.PCAP.CD,2016,27441.55
ABW,NY.GDP.PCAP.CD,2017,28440.04
ABW,NY.GDP.PCAP.CD,2018,30082.16
ABW,NY.GDP.PCAP.CD,2019,30654.49
ABW,NY.GDP.PCAP.CD,2020,22664.37
ABW,NY.GDP.PCAP.CD,2021,26827.34
ABW,NY.GDP.PCAP.CD,2022,31000.57
ABW,NY.GDP.PCAP.CD,2023,34897.62
ABW,SP.DYN.LE00.IN,2000,72.94
ABW,SP.DYN.LE00.IN,2001,73.04
ABW,SP.DYN.LE00.IN,2002,73.14
ABW,SP.DYN.LE00.IN,2003,73.24
ABW,SP.DYN.LE00.IN,2004,73.22
ABW,SP.DYN.LE00.IN,2005,73.42
ABW,SP.DYN.LE00.IN,2006,73.50
ABW,SP.DYN.LE00.IN,2007,73.64
ABW,SP.DYN.LE00.IN,2008,73.78
ABW,SP.DYN.LE00.IN,2009,73.97
ABW,SP.DYN.LE00.IN,2010,74.30
ABW,SP.DYN.LE00.IN,2011,74.58
ABW,SP.DYN.LE00.IN,2012,74.84
ABW,SP.DYN.LE00.IN,2013,75.07
ABW,SP.DYN.LE00.IN,2014,75.26
ABW,SP.DYN.LE00.IN,2015,75.41
ABW,SP.DYN.LE00.IN,2016,75.54
ABW,SP.DYN.LE00.IN,2017,75.62
ABW,SP.DYN.LE00.IN,2018,75.88
ABW,SP.DYN.LE00.IN,2019,76.02
ABW,SP.DYN.LE00.IN,2020,75.41
ABW,SP.DYN.LE00.IN,2021,73.66
ABW,SP.DYN.LE00.IN,2022,76.23
ABW,SP.DYN.LE00.IN,2023,76.35
ABW,EN.GHG.CO2.PC.CE.AR5,2000,2.97
ABW,EN.GHG.CO2.PC.CE.AR5,2001,2.97
ABW,EN.GHG.CO2.PC.CE.AR5,2002,3.23
ABW,EN.GHG.CO2.PC.CE.AR5,2003,3.68
ABW,EN.GHG.CO2.PC.CE.AR5,2004,3.67
ABW,EN.GHG.CO2.PC.CE.AR5,2005,3.95
ABW,EN.GHG.CO2.PC.CE.AR5,2006,4.27
ABW,EN.GHG.CO2.PC.CE.AR5,2007,4.57
ABW,EN.GHG.CO2.PC.CE.AR5,2008,4.50
ABW,EN.GHG.CO2.PC.CE.AR5,2009,4.86
ABW,EN.GHG.CO2.PC.CE.AR5,2010,4.74
ABW,EN.GHG.CO2.PC.CE.AR5,2011,2.83
ABW,EN.GHG.CO2.PC.CE.AR5,2012,3.61
ABW,EN.GHG.CO2.PC.CE.AR5,2013,3.91
ABW,EN.GHG.CO2.PC.CE.AR5,2014,4.13
ABW,EN.GHG.CO2.PC.CE.AR5,2015,4.29
ABW,EN.GHG.CO2.PC.CE.AR5,2016,4.46
ABW,EN.GHG.CO2.PC.CE.AR5,2017,4.30
ABW,EN.GHG.CO2.PC.CE.AR5,2018,4.27
ABW,EN.GHG.CO2.PC.CE.AR5,2019,4.67
ABW,EN.GHG.CO2.PC.CE.AR5,2020,4.50
ABW,EN.GHG.CO2.PC.CE.AR5,2021,4.71
ABW,EN.GHG.CO2.PC.CE.AR5,2022,4.99
ABW,EN.GHG.CO2.PC.CE.AR5,2023,5.00
ABW,EG.FEC.RNEW.ZS,2000,0.20
ABW,EG.FEC.RNEW.ZS,2001,0.20
ABW,EG.FEC.RNEW.ZS,2002,0.20
ABW,EG.FEC.RNEW.ZS,2003,0.20
ABW,EG.FEC.RNEW.ZS,2004,0.20
ABW,EG.FEC.RNEW.ZS,2005,0.20
ABW,EG.FEC.RNEW.ZS,2006,0.20
ABW,EG.FEC.RNEW.ZS,2007,0.20
ABW,EG.FEC.RNEW.ZS,2008,0.20
ABW,EG.FEC.RNEW.ZS,2009,0.30
ABW,EG.FEC.RNEW.ZS,2010,5.50
ABW,EG.FEC.RNEW.ZS,2011,5.70
ABW,EG.FEC.RNEW.ZS,2012,6.90
ABW,EG.FEC.RNEW.ZS,2013,6.90
ABW,EG.FEC.RNEW.ZS,2014,6.90
ABW,EG.FEC.RNEW.ZS,2015,6.70
ABW,EG.FEC.RNEW.ZS,2016,7.00
ABW,EG.FEC.RNEW.ZS,2017,6.80
ABW,EG.FEC.RNEW.ZS,2018,8.60
ABW,EG.FEC.RNEW.ZS,2019,8.30
ABW,EG.FEC.RNEW.ZS,2020,9.10
ABW,EG.FEC.RNEW.ZS,2021,8.80
